Team,Year,Total Plays,Rush Plays,Pass Plays,Pass Attempts,Completions,Gross Pass Yards,Sacks,Sack Yards,Pass Touchdowns,Interceptions,Targets,WR Targets,TE Targets,RB Targets,Rush Yards,Rush Touchdowns,Pass Play %,Rush Play %,COMP%,Dead Plays,Yards/Sack,Net Pass Yards,Target %,WR TGT%,TE TGT%,RB TGT%,YPC,Touchdown %,YPA,Interception %,Gross Yards,Net Yards,TOTAL Touchdowns,Net Yards/Touchdown
ARI,2021,1126,496,630,591,415,4276,39,343,27,11,570,359,108,103,2076,23,56.0%,44.0%,70.2%,21,8.79,3933,96.4%,63.0%,18.9%,18.1%,4.19,4.57%,7.24,1.86%,6352,6009,50,120.18
ATL,2021,1006,393,613,573,377,3713,40,274,20,15,554,256,152,146,1451,11,60.9%,39.1%,65.8%,19,6.85,3439,96.7%,46.2%,27.4%,26.4%,3.69,3.49%,6.48,2.62%,5164,4890,31,157.74
BAL,2021,1185,517,668,611,396,3961,57,306,21,18,591,337,171,83,2479,18,56.4%,43.6%,64.8%,20,5.37,3655,96.7%,57.0%,28.9%,14.0%,4.79,3.44%,6.48,2.95%,6440,6134,39,157.28
BUF,2021,1143,461,682,655,415,4284,27,166,36,16,623,444,83,96,2209,20,59.7%,40.3%,63.4%,32,6.15,4118,95.1%,71.3%,13.3%,15.4%,4.79,5.50%,6.54,2.44%,6493,6327,56,112.98
CAR,2021,1106,455,651,599,337,3239,52,334,14,21,575,366,67,142,1842,17,58.9%,41.1%,56.3%,24,6.42,2905,96.0%,63.7%,11.7%,24.7%,4.05,2.34%,5.41,3.51%,5081,4747,31,153.13
CHI,2021,1075,475,600,542,332,3207,58,428,16,20,524,309,124,91,2018,14,55.8%,44.2%,61.3%,18,7.38,2779,96.7%,59.0%,23.7%,17.4%,4.25,2.95%,5.92,3.69%,5225,4797,30,159.90
CIN,2021,1046,436,610,555,384,4403,55,403,36,14,540,359,83,98,1742,16,58.3%,41.7%,69.2%,15,7.33,4000,97.3%,66.5%,15.4%,18.1%,4.00,6.49%,7.93,2.52%,6145,5742,52,110.42
CLE,2021,1054,485,569,520,320,3320,49,299,21,14,499,274,142,83,2471,20,54.0%,46.0%,61.5%,21,6.10,3021,96.0%,54.9%,28.5%,16.6%,5.09,4.04%,6.38,2.69%,5791,5492,41,133.95
DAL,2021,1153,473,680,647,444,4800,33,163,40,11,637,389,130,118,2119,15,59.0%,41.0%,68.6%,10,4.94,4637,98.5%,61.1%,20.4%,18.5%,4.48,6.18%,7.42,1.70%,6919,6756,55,122.84
DEN,2021,1036,455,581,541,354,3593,40,263,20,9,517,282,142,93,2025,16,56.1%,43.9%,65.4%,24,6.58,3330,95.6%,54.5%,27.5%,18.0%,4.45,3.70%,6.64,1.66%,5618,5355,36,148.75
DET,2021,1056,427,629,593,396,3598,36,286,23,14,565,323,113,129,1886,12,59.6%,40.4%,66.8%,28,7.94,3312,95.3%,57.2%,20.0%,22.8%,4.42,3.88%,6.07,2.36%,5484,5198,35,148.51
GB,2021,1072,446,626,593,402,4315,33,211,39,7,570,365,99,106,1900,13,58.4%,41.6%,67.8%,23,6.39,4104,96.1%,64.0%,17.4%,18.6%,4.26,6.58%,7.28,1.18%,6215,6004,52,115.46
HOU,2021,1010,420,590,546,354,3305,44,325,21,15,523,319,100,104,1422,8,58.4%,41.6%,64.8%,23,7.39,2980,95.8%,61.0%,19.1%,19.9%,3.39,3.85%,6.05,2.75%,4727,4402,29,151.79
IND,2021,1052,499,553,521,324,3361,32,227,27,8,502,286,103,113,2540,22,52.6%,47.4%,62.2%,19,7.09,3134,96.4%,57.0%,20.5%,22.5%,5.09,5.18%,6.45,1.54%,5901,5674,49,115.80
JAX,2021,1028,392,636,604,361,3436,32,238,12,17,583,422,68,93,1755,13,61.9%,38.1%,59.8%,21,7.44,3198,96.5%,72.4%,11.7%,16.0%,4.48,1.99%,5.69,2.81%,5191,4953,25,198.12
KC,2021,1134,431,703,675,448,4791,28,146,37,13,637,363,162,112,1955,16,62.0%,38.0%,66.4%,38,5.21,4645,94.4%,57.0%,25.4%,17.6%,4.54,5.48%,7.10,1.93%,6746,6600,53,124.53
LV,2021,1082,414,668,628,429,4567,40,241,23,14,603,317,141,145,1617,14,61.7%,38.3%,68.3%,25,6.03,4326,96.0%,52.6%,23.4%,24.0%,3.91,3.66%,7.27,2.23%,6184,5943,37,160.62
LAC,2021,1128,423,705,674,443,4800,31,214,38,15,659,391,137,131,1834,18,62.5%,37.5%,65.7%,15,6.90,4586,97.8%,59.3%,20.8%,19.9%,4.34,5.64%,7.12,2.23%,6634,6420,56,114.64
LAR,2021,1058,420,638,607,406,4642,31,251,41,18,602,432,94,76,1683,10,60.3%,39.7%,66.9%,5,8.10,4391,99.2%,71.8%,15.6%,12.6%,4.01,6.75%,7.65,2.97%,6325,6074,51,119.10
MIA,2021,1097,442,655,615,404,3651,40,285,21,14,599,329,174,96,1568,12,59.7%,40.3%,65.7%,16,7.13,3366,97.4%,54.9%,29.0%,16.0%,3.55,3.41%,5.94,2.28%,5219,4934,33,149.52
MIN,2021,1083,449,634,604,398,4238,30,212,34,7,578,366,90,122,1930,10,58.5%,41.5%,65.9%,26,7.07,4026,95.7%,63.3%,15.6%,21.1%,4.30,5.63%,7.02,1.16%,6168,5956,44,135.36
NE,2021,1052,489,563,535,364,3857,28,241,24,13,524,293,120,111,2151,24,53.5%,46.5%,68.0%,11,8.61,3616,97.9%,55.9%,22.9%,21.2%,4.40,4.49%,7.21,2.43%,6008,5767,48,120.15
NO,2021,1051,510,541,504,293,3186,37,251,29,13,474,296,70,108,1991,12,51.5%,48.5%,58.1%,30,6.78,2935,94.0%,62.4%,14.8%,22.8%,3.90,5.75%,6.32,2.58%,5177,4926,41,120.15
